,Make,Year of manufacture,Condition,Mileage,Engine_Size,Fuel,Transmission,Price,Build
32,14,2011,0,105546,4600,0,0,14040000,0
44,27,2014,0,216924,2500,0,0,9360000,0
50,27,2014,0,216924,2500,0,0,9360000,0
54,14,2016,0,107355,5700,0,0,42000000,0
57,17,2007,1,209466,4700,0,0,4515000,0
62,14,2010,1,135819,3500,0,0,8610000,0
64,17,2015,0,120785,4500,0,0,18720000,0
65,14,2006,0,156704,3300,0,0,3640000,0
67,14,2008,0,162262,4700,0,0,4725000,0
70,13,2011,0,132352,5000,0,0,5250000,0
71,27,2010,1,170599,3500,0,0,6825000,0
77,14,2015,1,228013,3500,0,0,15600000,0
79,27,2015,1,79277,4000,0,0,17680000,0
80,14,2015,0,88745,3500,0,0,9450000,0
82,27,2010,1,158017,3500,0,0,6825000,0
84,14,2004,1,250650,3500,0,0,6032000,0
85,17,2006,0,243975,3500,0,0,3360000,0
87,13,2018,1,30092,3000,1,0,36750000,0
89,17,2012,1,173337,3500,0,0,11025000,0
93,14,2005,1,95873,3300,0,0,5200000,0
94,13,2018,1,30092,3000,1,0,36750000,0
97,17,2010,0,112360,4600,0,0,6240000,0
98,27,2010,1,170599,3500,0,0,6825000,0
100,14,2010,1,344424,3500,0,0,9048000,0
101,14,2007,0,170778,3300,0,0,4680000,0
105,17,2010,0,112360,4600,0,0,6240000,0
106,0,2007,1,233488,3700,0,0,3570000,0
108,0,2011,0,90726,3700,0,0,4200000,0
109,17,2014,0,152669,4700,0,0,13520000,0
110,27,2015,0,47602,3500,0,0,9660000,0
113,27,2013,0,126686,3500,0,0,7280000,0
114,14,2010,1,344424,3500,0,0,9048000,0
115,14,2005,1,95873,3300,0,0,5200000,0
116,13,2013,0,76069,4500,0,0,4200000,0
118,14,2002,1,119143,3000,0,0,3848000,0
119,13,2011,0,26628,5000,0,0,9360000,0
121,14,2007,1,175135,3500,0,0,4500000,0
124,27,2004,1,294359,2400,0,0,4160000,0
126,17,2015,1,39662,3500,0,0,14560000,0
127,22,2004,1,359713,4500,0,0,4200000,0
128,17,2010,0,96957,3500,0,0,6240000,0
131,27,2007,1,149184,4000,0,0,6448000,0
135,14,2014,1,139592,4600,0,0,23920000,0
139,0,2011,0,78613,3700,0,0,6240000,0
142,27,2007,0,104336,2400,0,0,3328000,0
144,17,2007,0,1966,35,0,0,5720000,0
145,27,2017,1,107748,2500,0,0,12600000,0
147,17,2009,0,121829,4600,0,0,5720000,0
148,17,2010,0,96957,3500,0,0,6240000,0
152,14,2015,0,24855,3500,0,0,10920000,0
153,13,2006,1,213515,4400,0,0,3150000,0
154,27,2011,0,114388,4000,0,0,10500000,0
156,27,2010,1,236601,2500,0,0,6448000,0
157,13,2016,1,102429,35,0,0,36750000,0
158,27,2017,1,107748,2500,0,0,12600000,0
160,17,2011,0,112122,4700,0,0,6760000,0
161,14,2007,0,170778,3300,0,0,4680000,0
162,14,2004,0,98430,4700,0,0,4680000,0
163,27,2008,1,93474,3500,0,0,6300000,0
165,17,2015,1,168946,3500,0,0,17680000,0
166,27,2015,0,67161,2500,0,0,10400000,0
167,14,2007,1,104138,3500,0,0,5928000,0
169,17,2012,1,165585,3500,0,0,13520000,0
170,27,2008,0,118743,3500,0,0,4784000,0
171,27,2010,1,131164,2700,0,0,6090000,0
172,27,2009,1,168603,2500,0,0,4620000,0
175,13,2014,0,56908,5000,0,0,26000000,0
177,27,2009,0,205371,3500,0,0,7072000,0
178,17,2006,0,380097,5000,0,0,5200000,0
179,17,2015,1,39662,3500,0,0,14560000,0
180,14,2001,1,199731,3000,0,0,3150000,0
182,27,2005,1,260730,4700,0,0,4992000,0
184,27,2011,0,114388,4000,0,0,10500000,0
187,27,2014,1,70649,3500,0,0,8400000,0
189,17,2008,0,650,4000,0,0,6760000,0
190,0,2011,0,90726,3700,0,0,4200000,0
191,27,2013,0,79393,4700,0,0,26000000,0
